ex_date,dividend,payment_date
2024-12-30,106.48,2025-01-15
2024-11-28,1358.18,2025-01-15
2024-05-28,209.31,2024-06-05
2023-12-29,199.98,2024-01-12
2023-05-23,240.78,2023-06-06
2023-01-02,251.28,2023-01-13
2022-05-17,141.39,2022-06-08
2021-12-30,160.16,2022-01-14
2021-05-05,66.28,2021-05-25
2020-06-04,44.13,2020-06-19
2020-01-03,65.48,2020-01-15
2019-05-10,56.16,2019-05-24
2018-12-28,33.99,2019-01-15
2018-05-02,65.39,2018-05-18
2017-12-29,42.25,2018-01-12
2017-05-05,16.78,2017-05-26
2016-12-29,25.62,
2016-04-26,16.64,
2015-12-29,15.29,
2015-05-04,18.52,
2014-12-29,11.73,
2014-05-28,12.91,
2013-12-27,15.3,
2013-05-30,12.36,
2012-12-27,10.65,
2012-05-30,65.8,
2011-11-29,21.35,
2011-05-30,20.5,
2010-11-29,9.85,
2010-06-03,17.0,
2009-12-14,12.0,
2009-08-26,11.8,
