ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-11-10,40.0,2025-11-25,2025,interim
2025-08-07,35.0,2025-08-26,2025,interim
2025-06-12,40.0,2025-06-24,2025,interim
2025-05-09,25.0,2025-05-27,2024,final
2024-11-08,35.0,2024-11-21,2024,interim
2024-08-08,35.0,2024-08-21,2024,interim
2024-07-02,40.0,2024-07-16,2024,interim
2024-05-13,25.0,2024-05-28,2023,final
2023-11-06,30.0,2023-11-22,2023,interim
2023-08-08,25.0,2023-08-23,2023,interim
2023-05-30,25.0,2023-06-14,2023,interim
2023-05-11,25.0,2023-05-24,2022,final
2022-11-10,25.0,2022-11-23,2022,interim
2022-09-07,25.0,2022-09-21,2022,interim
2022-08-08,20.0,2022-08-23,2022,interim
2022-05-19,15.0,2022-05-31,2021,final
2021-11-10,20.0,2021-11-23,2021,interim
2021-08-12,20.0,2021-08-25,2021,interim
2021-06-29,20.0,2021-07-15,2021,interim
2021-06-10,10.0,2021-06-24,2020,final
2020-12-02,20.0,2020-12-22,2020,interim
2020-09-07,15.0,2020-09-24,2020,interim
2020-08-05,19.0,2020-08-25,2020,interim
2020-07-07,5.0,2020-07-21,2019,final
2019-11-11,15.0,2019-11-22,2019,interim
2019-08-09,15.0,2019-08-23,2019,interim
2019-06-12,10.0,2019-06-25,2019,interim
2019-05-14,18.0,2019-05-24,2018,final
2018-11-07,15.0,2018-11-23,2018,interim
2018-08-08,15.0,2018-08-28,2018,interim
2018-05-23,12.0,2018-06-08,2018,interim
2018-05-09,10.0,2018-05-25,2017,final
2017-11-08,15.0,2017-11-24,2017,interim
2017-08-07,15.0,2017-08-24,2017,interim
2017-05-12,10.0,2017-05-30,2016,final
2016-11-10,15.0,,2016,interim
2016-08-04,12.5,,2016,interim
2016-06-08,12.5,,2016,interim
2016-05-04,8.75,,2015,final
2015-11-27,12.5,,2015,interim
2015-10-01,12.5,,2015,interim
2015-06-26,6.25,,2014,final
2014-11-25,15.0,,2014,interim
2014-09-24,10.0,,2014,interim
2014-06-27,13.75,,2013,final
2013-11-25,15.0,,2013,interim
2013-10-01,6.25,,2012,final
2012-12-04,7.5,,2012,interim
2012-09-05,12.5,,2012,interim
2012-07-02,12.5,,2011,final
2011-11-18,12.5,,2011,interim
2011-07-21,7.5,,2010,final
2010-12-13,6.25,,2010,interim
2010-08-20,10.0,,2010,interim
2010-06-16,6.25,,2009,final
2009-11-12,6.25,,2009,interim
2009-08-20,10.0,,2009,interim
2009-06-10,15.0,,2008,final
2008-06-17,5.0,,2007,final
2007-11-06,5.0,,2007,interim
2007-07-23,3.75,,2006,final
2006-08-24,3.75,,2005,final
2005-12-02,6.25,,2004,final
