ex_date,dividend,payment_date,fiscal_year,dividend_type
2024-12-11,15.0,2024-12-27,2024,interim
2024-06-28,15.0,2024-07-19,2023,final
2023-12-01,15.0,2023-12-21,2023,interim
2023-06-06,20.0,2023-06-23,2022,final
2022-11-04,5.0,2022-11-25,2022,interim
2022-06-15,10.0,2022-07-08,2021,final
2021-10-14,10.0,2021-10-29,2021,interim
2021-08-16,5.0,2021-09-03,2021,interim
2021-05-31,10.0,2021-06-18,2020,final
2020-07-03,3.5,2020-07-24,2019,final
2019-06-14,6.5,2019-06-28,2018,final
2018-06-08,6.0,2018-07-04,2017,final
2017-06-07,3.0,2017-06-22,2016,final
2016-05-12,4.0,,2015,final
2015-06-29,3.0,,2014,final
2014-09-02,4.0,,2013,final
2013-07-09,9.0,,2012,final
