ex_date,dividend,payment_date,fiscal_year,dividend_type
2024-05-14,3.5,2024-05-31,2023,final
2023-07-11,5.0,2023-07-26,2022,final
2022-07-19,5.7,2022-08-10,2021,final
2021-07-27,10.0,2021-08-16,2020,final
2020-07-23,5.7,2020-08-12,2019,final
2019-07-08,10.0,2019-07-31,2018,final
2018-07-04,10.0,2018-07-26,2017,final
2017-07-03,12.5,2017-07-19,2016,final
2016-06-09,12.5,,2015,final
2015-05-11,10.0,,2014,final
2014-07-24,12.5,,2013,final
2013-07-30,12.5,,2012,final
2012-07-25,10.0,,2011,final
2007-06-28,2.5,,2006,final
2006-07-05,5.81585,,2005,final
2005-07-05,5.81585,,2004,final
2004-07-01,8.72377,,2003,final
2003-07-04,13.08566,,2002,final
2002-07-02,13.08566,,2001,final
2001-05-29,20.35546,,2000,final
