ex_date,dividend,payment_date,fiscal_year,dividend_type
2024-06-27,15,2024-07-19,2023,final
2023-06-26,16,2023-07-18,2022,final
2022-06-29,8,2022-07-21,2021,final
2021-05-24,6,2021-06-16,2020,final
