ex_date,dividend,payment_date,fiscal_year,dividend_type
2022-06-23,5,2022-07-15,2021,final
2021-07-07,5,2021-07-30,2020,final
2020-07-08,5,2020-07-30,2019,final
2019-07-01,5,2019-07-24,2018,final
2018-05-18,4,2018-06-08,2017,final
2017-05-31,4,2017-06-20,2016,final
2016-04-13,5,,2015,final
2014-04-24,10,,2013,final
2013-05-23,40,,2012,final
2012-12-07,20,,2012,interim
2012-04-16,75,,2011,final
2011-10-21,25,,2011,interim
2011-06-17,25,,2010,final
2010-06-16,3,,2009,final
2009-06-05,3,,2008,final
2008-06-18,5,,2007,final
2007-06-29,3,,2006,final
2006-07-04,3,,2005,final
2005-07-01,5,,2004,final
2004-07-09,5,,2003,final
2003-08-05,3,,2002,final
2002-07-29,2,,2001,final
2001-07-27,8,,2000,final
