ex_date,dividend,payment_date
2024-11-13,35.0,2024-12-04
2024-06-25,40.0,2024-07-10
2023-05-24,20.0,2023-06-14
2022-12-12,39.47761,2022-12-21
2022-07-11,49.34702,2022-08-02
2021-08-10,24.67351,2021-09-02
2020-08-28,24.67351,2020-09-16
2019-07-02,24.67351,2019-07-16
2018-06-05,44.41231,2018-06-26
2017-12-27,29.60821,2018-01-10
2017-06-14,29.60821,2017-07-07
2016-08-11,19.73881,
2016-06-20,3.94776,
2015-09-28,7.89552,
2015-06-15,14.8041,
2014-08-29,11.84328,
2013-09-27,6.90858,
2013-07-03,2.96082,
2012-11-29,11.84328,
2012-07-06,6.41511,
2011-09-29,19.73881,
2011-06-14,7.59944,
2010-11-29,7.89552,
2010-06-16,1.97388,
2009-11-23,7.89552,
2008-09-09,17.13329,
2008-07-11,3.17795,
2007-11-30,3.73063,
2007-07-19,3.44442,
2006-07-21,0.77968,
2005-07-18,2.96082,
2004-07-20,4.9347,
