ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-05-16,15.93,2025-06-04,2024,final
2024-05-17,92.13308,2024-06-05,2023,final
2023-05-05,208.0,2023-05-17,2022,final
2022-08-16,114.46382,2022-08-30,2021,final
2020-05-04,89.63393,2020-05-20,2019,final
2019-05-07,108.66394,2019-05-29,2018,final
2018-12-12,54.43,2018-12-28,2018,interim
2018-05-07,108.05,2018-05-30,2017,final
2013-07-15,36.61,,2012,final
2012-07-10,60.0,,2011,final
2011-07-13,26.0,,2010,final
2010-11-11,48.0,,2010,interim
2010-06-09,69.68,,2009,final
2009-06-18,84.0,,2008,final
