ex_date,dividend,payment_date,fiscal_year,dividend_type
2026-09-01,17.01,2026-09-10,2026,interim
2026-05-19,16.57,2026-05-29,2026,interim
2025-12-04,35.11,2025-12-18,2025,interim
2025-07-04,187.26,2025-07-11,2024,final
