ex_date,dividend,payment_date,fiscal_year,dividend_type
2024-03-05,32.0,2024-03-28,2023,final
2023-05-30,29.0,2023-06-22,2022,final
2019-07-01,53.0,2019-07-24,2018,final
2018-05-22,52.0,2018-06-08,2017,final
2017-06-05,31.0,2017-06-22,2016,final
2016-07-01,69.0,,2015,final
2015-06-16,65.0,,2014,final
2014-06-19,53.4,,2013,final
2013-06-27,49.5,,2012,final
2012-06-05,45.0,,2011,final
2011-07-01,41.5,,2010,final
2010-06-01,40.0,,2009,final
2009-06-15,37.35,,2008,final
2008-07-02,35.2,,2007,final
2007-07-02,31.5,,2006,final
2006-05-22,30.5,,2005,final
2005-05-17,25.175,,2004,final
