ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-04-15,53.57,2025-04-25,2024,final
2024-03-19,49.89136,2024-04-05,2023,final
2023-03-29,43.39426,2023-04-14,2022,final
2022-03-14,19.93434,2022-03-31,2021,final
2020-03-23,1.75552,2020-04-15,2019,final
2019-05-28,47.11173,2019-06-12,2018,final
2018-04-03,50.79529,2018-04-24,2017,final
2017-03-27,43.9404,2017-04-13,2016,final
2016-04-20,31.05481,,2015,final
2015-04-01,18.75703,,2014,final
2014-03-19,39.40733,,2013,final
2013-04-29,34.41534,,2012,final
2012-05-11,21.61832,,2011,final
2011-06-13,26.63972,,2010,final
2010-06-11,12.89068,,2009,final
