ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-06-04,39.11,2025-06-20,2024,final
2024-05-28,27.57,2024-06-14,2023,final
2023-06-15,25.9,2023-07-06,2022,final
2022-07-29,7.45,2022-08-19,2021,final
2021-07-30,10.23835,2021-08-20,2020,final
2020-07-17,12.211,2020-08-07,2019,final
2019-04-24,9.465,2019-05-10,2018,final
2018-05-22,5.08,2018-06-08,2017,final
2017-05-30,4.26,2017-06-22,2016,final
2016-05-10,10.8606,,2015,final
2015-05-08,39.55602,,2014,final
2014-06-06,16.30884,,2013,final
2013-05-16,1.766,,2012,final
2011-07-04,2.66,,2010,final
2010-07-29,5.0,,2010,interim
2010-01-08,20.0,,2009,final
2009-06-10,3.72,,2008,final
2008-06-09,2.74,,2007,final
