ex_date,dividend,payment_date
2024-11-21,200,2024-12-05
2024-06-24,200,2024-06-27
2023-11-08,200,2023-11-23
2023-06-15,200,2023-06-26
2022-10-12,300,2022-10-19
2022-06-17,200,2022-06-29
2021-12-01,200,2021-12-17
2021-06-18,400,2021-06-29
2020-06-19,200,2020-07-09
2019-12-02,200,2019-12-19
2019-05-23,300,2019-06-14
2018-11-21,200,2018-11-30
2018-06-25,400,2018-06-28
2017-06-14,150,2017-06-22
2016-06-16,125,
2015-07-03,100,
2013-10-22,75,
2013-07-02,100,
2012-12-10,100,
2012-07-11,50,
2011-11-23,75,
2011-07-20,50,
2010-10-12,75,
2010-07-09,50,
2009-06-19,125,
2008-06-25,63,
2007-07-30,12,
2006-07-10,40,
2005-06-20,25,
2003-09-02,20,
