ex_date,dividend,payment_date,fiscal_year,dividend_type
2023-07-11,11.66,2023-08-02,2022,final
2022-08-09,2.91,2022-09-01,2021,final
2003-07-16,1.25,,2002,final
2002-07-15,1.875,,2001,final
