ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-10-08,215.0,2025-10-21,2025,interim
2025-06-02,448.0,2025-06-2,2024,final
2024-06-27,286.0,2024-07-19,2023,final
2023-06-22,360.0,2023-07-12,2022,final
2022-07-07,100.0,2022-07-18,2022,interim
2022-01-11,450.0,2022-01-27,2021,final
2021-07-05,149.0,2021-07-16,2020,final
2020-12-22,110.0,2020-12-29,2020,interim
2020-08-10,116.0,2020-09-02,2019,final
2019-07-05,90.0,2019-07-26,2018,final
2018-10-31,360.0,2018-11-15,2018,interim
2018-07-04,92.0,2018-07-26,2017,final
2017-06-02,732.0,2017-06-21,2016,final
2015-06-17,69.0,,2014,final
2014-06-25,104.0,,2013,final
2013-07-02,38.4,,2012,final
2012-07-11,90.0,,2011,final
2011-07-11,33.0,,2010,final
2010-06-28,48.0,,2009,final
2009-07-01,39.0,,2008,final
2008-07-14,36.0,,2007,final
2006-08-16,24.0,,2005,final
2005-07-12,130.0,,2004,final
2004-06-14,0.0058,,2003,final
2003-07-01,0.0035,,2002,final
2002-06-20,0.0033,,2001,final
