ex_date,dividend,payment_date,fiscal_year,dividend_type
2023-07-11,1.0,2023-08-02,2022,final
2022-11-30,10.0,2022-12-21,2022,interim
2022-08-03,1.0,2022-08-26,2021,final
2020-08-06,1.0,2020-08-26,2019,final
2019-06-26,10.0,2019-07-12,2018,final
2018-05-18,1.0,2018-06-07,2017,final
2017-12-12,1.0,2017-12-27,2017,interim
2017-06-05,1.0,2017-06-22,2016,final
2016-06-02,0.9,,2015,final
2015-05-28,2.0,,2014,final
2014-12-09,2.0,,2013,final
2013-09-04,12.0,,2012,final
