ex_date,dividend,payment_date,fiscal_year,dividend_type
2024-11-25,190.0,2024-12-12,2024,interim
2024-06-25,396.0,2024-07-12,2023,final
2023-11-15,110.0,2023-12-04,2023,interim
2023-06-05,245.0,2023-06-22,2022,final
2022-11-11,43.0,2022-11-30,2022,interim
2022-05-09,408.45001,2022-05-20,2021,final
2021-04-29,475.0,2021-05-21,2020,final
2019-11-11,47.0,2019-11-27,2019,interim
2019-05-03,536.0,2019-05-24,2018,final
2018-11-09,47.0,2018-11-29,2018,interim
2018-04-25,487.0,2018-05-18,2017,final
2017-11-07,140.0,2017-11-28,2017,interim
2017-04-28,371.0,2017-05-18,2016,final
2016-10-06,95.0,,2016,interim
2016-06-13,344.0,,2015,final
2015-05-27,138.0,,2014,final
2014-11-12,119.0,,2014,interim
2014-06-06,460.76001,,2013,final
2013-11-11,95.0,,2013,interim
2013-03-11,145.66,,2012,final
2012-08-23,69.5,,2012,interim
2012-06-08,240.74001,,2011,final
2011-06-20,212.78999,,2010,final
2010-06-18,36.5,,2009,final
2009-12-28,125.0,,2009,interim
2009-06-01,150.0,,2008,final
2008-06-09,36.0,,2007,final
2007-10-04,14.0,,2007,interim
2007-06-12,26.4,,2006,final
2006-09-04,17.25,,2006,interim
2006-06-08,31.65,,2005,final
2005-10-10,20.0,,2005,interim
2005-06-27,31.56,,2004,final
2004-11-22,9.4,,2004,interim
2004-06-30,33.42,,2003,final
2003-11-06,9.4,,2003,interim
2003-07-04,30.97,,2003,interim
2003-03-07,9.4,,2002,final
2002-06-26,44.63,,2001,final
