ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-07-01,15.0,2025-07-21,2024,final
2024-07-08,15.0,2024-07-29,2023,final
2023-06-07,15.0,2023-06-26,2022,final
2021-06-25,50.0,2021-07-16,2020,final
2020-08-26,50.0,2020-09-11,2019,final
2019-06-11,50.0,2019-06-21,2018,final
2018-05-24,55.0,2018-06-08,2017,final
2017-05-19,52.01088,2017-06-08,2016,final
2016-06-24,47.28262,,2015,final
2015-06-04,37.8261,,2014,final
2014-06-10,37.8261,,2013,final
2013-06-05,35.93479,,2012,final
2012-06-11,28.36957,,2011,final
2011-07-01,23.64131,,2010,final
2010-06-18,17.02174,,2009,final
2009-07-16,13.55627,,2008,final
2008-06-19,11.52283,,2007,final
2007-06-22,7.68189,,2006,final
2006-07-21,3.84094,,2005,final
