ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-06-23,5,2025-07-11,2024,final
2024-07-01,10,2024-07-19,2023,final
2023-07-05,15,2023-07-21,2022,final
2022-06-28,15,2022-07-20,2021,final
2020-09-08,3,2020-09-30,2019,final
2019-06-27,6,2019-07-19,2018,final
2018-06-27,3,2018-07-20,2017,final
2017-07-04,6,2017-07-19,2016,final
2016-06-24,5,,2015,final
2015-07-02,15,,2014,final
2014-08-05,20,,2013,final
2013-07-30,15,,2012,final
2011-07-18,10,,2010,final
2010-07-16,6,,2009,final
2008-07-16,1,,2007,final
2006-07-13,3,,2005,final
