ex_date,dividend,payment_date
2024-07-04,128.25,2024-07-26
2023-07-11,61.38,2023-08-03
2022-07-28,71.21,2022-08-19
2021-08-06,89.39,2021-08-27
2020-08-31,56.55,2020-09-23
2019-06-27,55.09,2019-07-19
2018-06-20,63.87,2018-07-05
2017-06-15,103.52,2017-07-07
2016-06-17,39.72,
2015-06-23,53.29,
2014-07-18,20.75,
2013-08-13,35.08,
2012-07-13,27.1,
2011-08-16,27.8,
2010-08-16,30.2,
2009-08-12,19.6,
2008-07-17,9.5,
2007-07-16,5.0,
2006-07-18,3.8,
2005-07-11,6.3,
2004-07-08,4.4,
2003-06-24,8.4,
2002-06-21,9.6,
