ex_date,dividend,payment_date
2017-05-10,2.4,2017-06-02
2015-06-09,9.4,
2014-05-19,21.2,
2013-05-17,1.0,
2012-05-23,1.0,
2011-03-08,10.0,
2010-06-10,2.15,
2008-04-16,2.47088,
2007-06-18,2.47088,
