ex_date,dividend,payment_date
2024-07-09,267.0,2024-07-26
2023-07-07,257.0,2023-07-26
2022-08-02,278.0,2022-08-24
2021-09-07,278.0,2021-09-29
2020-07-24,278.0,2020-08-14
2019-06-17,171.0,2019-07-08
2018-11-06,65.0,2018-11-29
2018-06-20,237.0,2018-07-05
2017-06-12,235.0,2017-07-06
2016-06-13,168.0,
2015-05-19,220.0,
2014-07-16,142.0,
2013-07-18,185.0,
2012-07-18,175.0,
2011-07-27,133.0,
2010-07-20,93.0,
2009-07-03,47.0,
2008-08-13,43.0,
2007-07-30,31.0,
2006-07-21,5.0,
2005-08-29,17.5,
2004-07-16,28.0,
2003-07-18,28.0,
2002-07-10,25.0,
2001-07-12,18.0,
