ex_date,dividend,payment_date
2024-05-27,35.0,2024-06-13
2023-06-23,50.0,2023-07-03
2022-11-16,25.0,2022-11-29
2022-06-14,50.0,2022-06-20
2022-01-10,20.0,2022-01-21
2021-06-09,15.0,2021-06-22
2020-06-15,35.0,2020-06-26
2020-01-29,20.0,2020-02-13
2019-05-27,40.0,2019-06-14
2018-05-21,30.0,2018-06-05
2017-05-23,12.0,2017-06-16
2015-05-22,17.0,
2014-09-09,14.5,
2014-06-16,16.5,
2013-07-09,16.0,
2012-06-28,15.0,
2011-06-30,16.05555,
2010-06-29,17.0,
2008-06-24,14.0,
2007-06-22,4.0,
2006-06-22,8.5,
2005-06-20,8.5,
2004-06-18,1.0,
2003-06-10,2.5,
2002-07-02,7.75,
2001-07-13,3.5,
