ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-05-15,45.0,2025-05-28,2024,final
2024-06-28,40.0,2024-07-19,2023,final
2023-07-03,30.0,2023-07-21,2022,final
2022-08-04,25.0,2022-08-26,2021,final
2021-09-01,85.0,2021-09-23,2020,final
2020-09-03,12.0,2020-09-24,2019,final
2019-07-08,12.0,2019-07-26,2018,final
2018-07-09,10.0,2018-08-01,2017,final
2017-07-10,6.5,2017-07-21,2016,final
2014-07-21,3.0,,2013,final
2012-07-20,2.5,,2011,final
2009-07-22,1.25,,2008,final
2006-07-18,1.25,,2005,final
