ex_date,dividend,payment_date
2024-07-03,10.8,2024-07-26
2023-06-13,4.86,2023-07-06
2022-08-05,10.063,2022-08-26
2021-08-10,3.15,2021-08-27
2019-06-21,3.25,2019-07-11
