ex_date,dividend,payment_date,fiscal_year,dividend_type
2026-07-02,8.0,2026-07-24,2025,final
2026-01-09,5.0,2026-01-28,2025,interim
2025-05-14,12.0,2025-06-04,2024,final
2024-06-07,7.6,2024-06-28,2023,final
2023-06-09,3.174,2023-06-27,2022,final
2022-07-01,1.396,2022-07-22,2021,final
2021-05-06,1.032,2021-05-27,2020,final
2020-06-17,1.046,2020-07-08,2019,final
2019-05-13,1.34,2019-05-31,2018,final
2018-05-08,0.996,2018-05-31,2017,final
2017-05-26,0.49,2017-06-16,2016,final
2015-05-08,0.61,,2014,final
2013-07-02,0.7,,2012,final
