ex_date,dividend,payment_date,fiscal_year,dividend_type
2019-05-24,1.87336,2019-06-12,2018,final
2018-07-05,1.87336,2018-07-26,2017,final
2017-05-23,3.74673,2017-06-15,2016,final
2016-06-29,7.5,,2015,final
