ex_date,dividend,payment_date,fiscal_year,dividend_type
2024-06-27,2.3,2024-07-17,2023,final
2023-05-30,0.3,2023-06-22,2022,final
2019-03-22,2.0,2019-04-12,2018,final
2018-04-13,1.6,2018-05-07,2017,final
2017-03-30,2.5,2017-04-20,2016,final
2016-03-29,4.5,,2015,final
2015-05-19,6.5,,2014,final
2014-11-03,5.0,,2013,final
2013-10-31,5.0,,2012,final
2012-10-23,3.8,,2011,final
2011-11-03,3.8,,2010,final
2010-11-26,3.8,,2009,final
2009-11-12,1.8,,2008,final
2008-11-13,1.8,,2007,final
2007-11-15,1.8,,2006,final
2006-10-30,1.8,,2005,final
2005-08-25,1.8,,2004,final
2004-08-26,1.7,,2003,final
2003-08-20,1.5,,2002,final
2002-08-19,1.2,,2001,final
2001-08-16,1.0,,2000,final
