ex_date,dividend,payment_date
2023-07-11,240,2023-07-25
2022-07-05,940,2022-07-19
2019-06-13,340,2019-06-28
2012-07-30,33,
2011-07-25,85,
2008-07-17,17,
2007-07-03,14,
2006-07-28,15,
2005-07-29,18,
2004-07-29,16,
2003-08-01,10,
