ex_date,dividend,payment_date
2024-12-03,25,2024-12-19
2024-07-03,75,2024-07-19
2023-11-10,50,2023-11-29
2023-06-13,100,2023-07-03
2022-12-19,25,2022-12-23
2022-06-10,50,2022-07-01
2021-12-01,20,2021-12-22
2021-07-06,60,2021-07-13
2020-07-09,50,2020-07-30
2019-06-11,40,2019-06-26
2018-06-22,40,2018-07-06
2017-06-13,50,2017-07-07
2016-06-29,50,
2015-06-11,64,
2014-07-25,75,
2013-07-08,75,
2012-07-13,75,
2011-08-04,40,
2010-11-05,30,
2010-09-03,35,
2009-09-01,25,
2009-06-23,15,
2008-09-11,35,
2008-07-29,25,
2007-05-24,25,
2006-07-24,30,
