ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-06-11,38.0,2025-06-19,2024,final
2024-05-15,64.0,2024-05-21,2023,final
2023-11-02,245.0,2023-11-08,2023,interim
2023-06-06,963.0,2023-06-13,2022,final
2022-09-22,1.03,2022-10-03,2022,interim
2022-06-16,523.0,2022-06-23,2021,final
2021-10-06,338.0,2021-10-15,2021,interim
2021-06-04,115.0,2021-06-11,2020,final
2020-08-25,358.0,2020-08-31,2020,interim
2020-06-18,59.0,2020-06-24,2019,final
2019-11-08,102.0,2019-11-15,2019,interim
2019-06-21,58.0,2019-07-12,2018,final
2018-12-03,240.0,2018-12-07,2018,interim
2018-05-30,330.0,2018-06-22,2017,final
2017-09-20,182.0,2017-09-28,2017,interim
2017-06-02,117.91,2017-06-22,2016,final
2016-05-27,100.91,,2015,final
2015-11-23,50.25,,2015,interim
2015-06-15,29.0,,2014,final
