ex_date,dividend,payment_date
2024-06-28,50,2024-07-19
2023-05-26,50,2023-06-16
2022-06-21,50,2022-07-14
2021-09-06,50,2021-09-29
2020-09-03,50,2020-09-25
2019-07-08,100,2019-07-31
2018-07-05,100,2018-07-27
2017-06-20,30,2017-07-14
2016-07-13,25,
2015-07-03,25,
2014-10-20,25,
