ex_date,dividend,payment_date
2024-10-14,15.75,2024-11-01
2024-06-10,29.322,2024-06-28
2023-11-30,15.0,2023-12-15
2023-06-13,23.7888,2023-07-03
2022-08-19,14.858,2022-09-08
2022-08-05,20.8656,2022-08-26
2015-04-28,0.00023,
2014-05-28,0.000288,
2013-05-21,0.00021,
2012-06-04,0.001459,
2011-06-14,0.002857,
2010-06-22,0.000549,
2009-08-04,0.002857,
2007-06-20,0.001086,
2006-05-30,0.002133,
2005-07-01,0.002,
2004-06-07,0.001219,
2003-05-23,21.14286,
2002-05-27,20.95238,
2001-07-31,16.19048,
2000-07-17,2.28572,
