ex_date,dividend,payment_date,fiscal_year,dividend_type
2024-06-14,4.25,2024-07-05,2023,final
2023-06-16,3.0,2023-07-07,2022,final
2020-07-27,2.4,2020-08-19,2019,final
2019-07-04,3.3,2019-07-26,2018,final
2018-06-26,5.8,2018-07-20,2017,final
2017-06-15,6.4,2017-07-07,2016,final
2016-06-09,4.5,,2015,final
2015-06-11,4.3,,2014,final
2014-06-20,4.2,,2013,final
2013-07-15,3.7,,2012,final
2012-06-18,2.94852,,2011,final
2011-07-01,2.55539,,2010,final
2010-06-29,2.75195,,2009,final
2009-06-11,2.06397,,2008,final
2008-06-09,1.67083,,2007,final
