ex_date,dividend,payment_date
2024-10-08,667.0,2024-10-24
2024-05-06,1569.0,2024-05-22
2023-10-11,701.0,2023-10-24
2023-04-28,6185.0,2023-05-12
2022-10-05,818.0,2022-10-24
2022-04-20,905.0,2022-05-11
2021-10-07,335.0,2021-10-22
2021-04-20,473.0,2021-05-11
2020-10-07,171.0,2020-10-20
2020-06-22,805.0,2020-07-03
2019-10-08,408.0,2019-10-23
2019-04-29,828.0,2019-05-17
2018-10-05,365.0,2018-10-22
2018-04-24,611.0,2018-05-15
2017-10-06,282.0,2017-10-23
2017-04-26,393.0,2017-05-12
2016-09-29,143.0,
2016-05-03,440.0,
2015-09-29,251.0,
2015-04-29,545.0,
2014-10-10,195.0,
2014-05-16,340.0,
2013-10-03,175.0,
2013-05-15,410.0,
2012-10-17,210.0,
2012-05-14,450.0,
2011-10-28,185.0,
2011-06-01,270.0,
2010-10-28,153.8284,
2010-06-15,317.2711,
2009-10-30,124.98558,
2009-06-12,211.51405,
2008-10-24,96.14275,
2008-06-11,137.9856,
2007-10-11,55.19424,
2007-06-21,78.19184,
2006-10-16,41.39568,
2006-06-13,101.18944,
2005-06-23,32.19664,
2004-12-01,18.39808,
