ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-06-03,108.0,2025-06-13,2024,final
2024-06-03,30.0,2024-06-13,2023,final
2023-11-17,100.0,2023-11-20,2022,final
2022-06-03,108.0,2022-06-14,2021,final
2021-08-04,112.0,2021-08-13,2020,final
2020-09-03,81.0,2020-09-16,2019,final
2019-06-11,118.0,2019-06-18,2018,final
2018-06-04,56.0,2018-06-22,2017,final
2017-06-02,56.0,2017-06-16,2016,final
2016-06-23,29.0,,2015,final
2015-06-29,18.0,,2014,final
2014-07-01,46.0,,2013,final
2013-07-01,46.0,,2012,final
2012-06-08,42.0,,2011,final
2011-06-17,39.8,,2011,interim
2011-01-25,25.0,,2010,final
2010-06-23,33.32,,2009,final
2007-07-31,3.8,,2006,final
2006-06-22,1.0,,2005,final
