ex_date,dividend,payment_date
2024-11-01,43.0,2024-11-21
2024-06-24,65.0,2024-07-12
2023-11-13,43.0,2023-11-28
2023-07-06,78.0,2023-07-21
2022-11-03,41.0,2022-11-18
2022-07-07,75.0,2022-07-27
2021-11-03,39.0,2021-11-15
2021-06-24,73.0,2021-07-16
2020-11-09,37.0,2020-11-25
2020-07-15,70.0,2020-08-07
2019-11-01,37.0,2019-11-22
2019-06-20,70.0,2019-07-12
2018-10-03,37.0,2018-10-26
2018-05-16,70.0,2018-06-06
2017-08-25,35.0,2017-09-15
2017-06-14,65.0,2017-07-07
2016-06-02,35.0,
2015-09-15,30.0,
2015-06-11,40.0,
2014-06-24,22.0,
2013-10-16,12.5,
2013-06-26,34.5,
2012-06-11,31.5,
2011-06-13,30.0,
2010-07-14,22.5,
2009-07-30,22.5,
2008-06-27,22.5,
2006-08-02,27.5,
