ex_date,dividend,payment_date,fiscal_year,dividend_type
2019-12-03,3.22,2019-12-23,2019,interim
2019-07-08,5.55,2019-07-30,2018,final
2018-12-12,8.71,2018-12-21,2018,interim
2018-07-06,5.55,2018-07-27,2017,final
2017-12-13,15.69,2017-12-20,2017,interim
2017-07-03,5.55,2017-07-17,2016,final
2016-11-29,18.22,,2016,interim
2016-07-01,6.45,,2015,final
2015-07-06,5.62,,2014,final
2014-12-01,16.16,,2014,interim
2014-07-21,13.47,,2013,final
2013-12-10,15.08,,2013,interim
2013-07-12,11.85,,2012,final
2012-12-04,15.65,,2012,interim
2012-07-11,12.3,,2011,final
2011-12-05,14.46,,2011,interim
2011-07-05,11.42,,2010,final
2010-12-08,13.0,,2010,interim
2010-06-30,10.7,,2009,final
2009-12-09,10.88,,2009,interim
2009-06-30,8.1623,,2008,final
2008-12-09,7.27,,2008,interim
2008-06-19,63.61,,2007,final
2007-12-10,8.7,,2007,interim
2007-07-06,4.35,,2006,final
2006-12-08,3.4,,2006,interim
2006-07-04,1.5,,2005,final
2005-12-06,8.5,,2005,interim
2005-07-04,6.5,,2004,final
2004-12-03,8.5,,2004,interim
2004-07-01,6.0,,2003,final
2003-12-08,9.0,,2003,interim
2003-07-03,11.5,,2002,final
2002-12-12,16.5,,2002,interim
2002-07-05,15.0,,2001,final
2001-12-07,20.0,,2000,final
