ex_date,dividend,payment_date
2023-06-16,27.8,2023-07-07
2022-06-17,43.0,2022-07-08
2021-06-18,4.0,2021-07-09
2018-05-22,12.0,2018-06-08
2017-06-05,18.0,2017-06-22
2016-06-09,35.0,
2015-06-30,35.0,
2014-06-25,35.0,
