ex_date,dividend,payment_date,fiscal_year,dividend_type
2024-11-12,105,2024-11-20,2024,interim
2024-06-14,95,2024-06-25,2023,final
2023-06-15,370,2023-06-22,2022,final
2022-08-10,200,2022-08-24,2022,interim
2022-06-15,110,2022-06-22,2021,final
2021-11-10,185,2021-11-24,2021,interim
2021-06-24,160,2021-07-02,2020,final
2019-06-27,750,2019-07-12,2018,final
2018-07-05,30,2018-07-19,2017,final
2017-06-02,25,2017-06-16,2016,final
2015-06-17,10,,2014,final
2014-08-11,5,,2013,final
2013-08-13,1200,,2012,final
2012-07-02,200,,2011,final
2011-07-08,150,,2010,final
2010-07-01,75,,2009,final
2009-06-30,180,,2008,final
2008-06-09,5,,2007,final
2007-06-07,46,,2006,final
