ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-06-12,182.08,2025-07-02,2024,final
2024-06-10,148.30606,2024-06-28,2023,final
2023-06-12,141.05356,2023-06-27,2022,final
2022-06-08,124.42,2022-06-29,2021,final
2020-05-29,41.56,2020-06-18,2020,interim
2020-05-20,41.56,,2019,final
2019-05-08,56.99,2019-05-28,2018,final
2018-05-07,31.61,2018-05-30,2017,final
2017-05-15,75.18,2017-06-07,2016,final
2016-04-18,91.32,,2015,final
2015-04-14,144.84,,2014,final
2014-04-29,210.39999,,2013,final
2013-05-13,202.77,,2012,final
2012-06-13,123.75,,2011,final
2011-12-01,10.87,,2011,interim
2011-07-20,144.24001,,2010,final
2010-12-28,10.2,,2010,interim
2010-07-09,144.2,,2009,final
2009-12-09,10.0,,2009,interim
2009-07-16,41.74,,2008,final
2008-07-04,34.235,,2007,final
2007-06-25,41.69,,2006,final
2006-07-03,20.886,,2005,final
2005-06-23,10.27618,,2004,final
2004-12-27,0.342,,2004,interim
2004-06-21,12.02,,2003,final
