ex_date,dividend,payment_date,fiscal_year,dividend_type
2024-07-08,39.0,2024-07-25,2023,final
2023-07-06,53.0,2023-07-21,2022,final
2022-08-01,51.0,2022-08-19,2021,final
2021-09-06,20.0,2021-09-24,2020,final
2020-07-27,15.0,2020-08-12,2019,final
2019-06-14,19.0,2019-06-27,2018,final
2018-06-08,45.0,2018-07-03,2017,final
2017-06-09,35.0,2017-07-04,2016,final
2016-06-10,37.0,,2015,final
2015-05-13,53.0,,2014,final
2014-06-17,46.0,,2013,final
2013-06-17,66.0,,2012,final
2012-06-06,100.0,,2011,final
2011-06-17,61.0,,2010,final
2010-06-18,41.8,,2009,final
2009-05-27,41.6,,2008,final
2006-07-21,15.0,,2005,final
