ex_date,dividend,payment_date
2024-08-08,2.0,2024-08-28
2024-07-05,12.0,2024-07-26
2023-08-09,4.0,2023-08-30
2023-07-11,30.0,2023-07-31
2022-08-10,10.0,2022-08-31
2022-07-08,10.0,2022-07-29
2021-07-09,2.0,2021-07-30
2020-07-09,1.6,2020-07-30
2019-07-05,3.2,2019-07-24
2018-07-19,4.0,
2018-07-06,4.0,2018-07-31
2017-06-05,5.0,2017-06-22
2016-06-10,3.8,
2015-06-04,3.8,
2014-06-17,1.7,
2013-06-14,1.45,
2012-06-13,2.0,
2011-06-08,1.6,
2009-06-05,2.25,
2008-06-06,2.0,
2007-06-07,1.5,
2006-06-12,3.5,
2005-06-07,3.0,
2004-06-11,1.0,
2003-06-13,1.22,
2002-07-03,1.22,
