ex_date,dividend,payment_date,fiscal_year,dividend_type
2023-06-20,9.97,2023-07-11,2022,final
2022-07-07,3.5,2022-07-27,2021,final
2021-08-02,1.2,2021-08-23,2020,final
2015-06-26,12.0,,2014,final
2014-09-03,12.44,,2013,final
