ex_date,dividend,payment_date
2024-06-10,5.05,2024-06-28
2023-06-13,1.65,2023-06-27
2022-06-10,1.0,2022-06-30
2021-12-03,2.5,2021-12-20
2021-05-31,2.5,2021-06-17
