ex_date,dividend,payment_date,fiscal_year,dividend_type
2025-06-26,15.0,2025-07-18,2024,final
2025-01-02,15.0,2025-01-17,2024,interim
2024-07-08,50.0,2024-07-18,2023,final
2023-07-05,24.13127,2023-07-14,2022,final
2022-07-11,19.30502,2022-07-20,2021,final
2021-11-05,19.30502,2021-11-22,2021,interim
2021-08-18,5.30888,2021-08-24,2020,final
2020-09-04,3.66795,2020-09-25,2019,final
2018-07-06,1.9305,2018-07-30,2017,final
2016-06-23,3.861,,2015,final
2014-06-27,19.30502,,2013,final
2013-08-13,14.47876,,2012,final
2012-05-28,38.61004,,2011,final
2011-11-09,9.65251,,2011,interim
2011-07-06,9.65251,,2010,final
2010-08-03,1.9305,,2009,final
2009-07-22,0.96525,,2008,final
