ex_date,dividend,payment_date,fiscal_year,dividend_type
2024-05-29,281.0,2024-06-19,2023,final
2023-05-29,325.0,2023-06-16,2022,final
2022-06-27,300.0,2022-07-15,2021,final
2021-09-02,250.0,2021-09-24,2020,final
2020-09-04,390.0,2020-09-25,2019,final
2019-06-28,478.0,2019-07-19,2018,final
2018-05-04,260.0,2018-05-24,2017,final
2017-05-12,30.0,2017-06-02,2016,final
2016-05-25,120.0,,2015,final
2015-06-19,120.0,,2014,final
2014-06-06,210.0,,2013,final
2013-06-21,30.0,,2012,final
2012-06-06,190.0,,2011,final
2011-05-30,210.0,,2010,final
2010-06-02,26.0,,2009,final
2009-05-28,70.0,,2008,final
2008-05-29,15.2,,2007,final
2007-05-15,12.0,,2006,final
2006-05-30,4.1,,2005,final
2005-07-07,7.0,,2004,final
2004-07-07,7.0,,2003,final
2003-06-23,8.0,,2002,final
2002-07-08,8.0,,2001,final
