ex_date,dividend,payment_date,fiscal_year,dividend_type
2024-11-15,5.0,2024-12-06,2024,interim
2024-06-25,5.0,2024-07-10,2023,final
2023-06-23,6.5,2023-07-14,2022,final
2022-07-08,2.5,2022-07-29,2021,final
2019-12-06,5.0,2019-12-27,2019,interim
2019-05-27,6.2,2019-06-14,2018,final
2018-12-11,4.0,2018-12-28,2018,interim
2018-07-03,7.0,2018-07-25,2017,final
2017-12-13,8.0,2017-12-22,2017,interim
2017-05-29,3.6,2017-06-08,2016,final
2016-12-05,11.0,,2016,interim
2016-05-26,5.6,,2015,final
2015-12-04,11.0,,2015,interim
2015-04-29,14.0,,2014,final
2014-08-19,10.2,,2013,final
2013-11-22,3.0,,2013,interim
2013-05-07,9.6,,2012,final
2012-06-15,5.0,,2011,final
2011-10-04,8.2,,2011,interim
2011-06-28,10.4,,2010,final
2010-11-09,2.4,,2010,interim
2010-06-17,6.8,,2009,final
2009-06-22,5.2,,2008,final
2008-12-19,1.6,,2008,interim
2008-09-11,0.32,,2007,final
2007-08-02,0.8,,2006,final
2006-12-18,0.32,,2006,interim
2006-06-23,2.0064,,2005,final
2005-12-09,1.0,,2005,interim
2005-06-24,1.4,,2004,final
2004-08-06,0.2,,2003,final
2003-07-02,1.2,,2002,final
2002-08-21,0.6,,2001,final
