ex_date,dividend,payment_date,fiscal_year,dividend_type
2024-05-27,166.0,2024-06-12,2023,final
2023-05-11,205.0,2023-05-26,2022,final
2022-05-27,205.0,2022-06-17,2021,final
2021-06-02,200.0,2021-06-23,2020,final
2020-05-15,90.0,2020-06-05,2019,final
2019-05-28,90.0,2019-06-20,2018,final
2018-05-23,5.0,2018-06-08,2017,final
2017-06-02,5.0,2017-06-22,2016,final
2016-06-02,5.0,,2015,final
2015-05-19,5.0,,2014,final
2013-06-17,2.0,,2012,final
2012-06-08,95.0,,2011,final
2011-07-11,5.0,,2010,final
2010-07-06,27.15647,,2009,final
2009-07-03,27.15647,,2008,final
2008-07-18,24.6877,,2007,final
2007-06-29,24.6877,,2006,final
2006-08-16,4.93754,,2005,final
